,Grid,defunct_start,defunct_end
1,Cha_19,11-12-2017 18:30:00,18-12-2017 14:28:00
2,Cha_19,05-01-2018 10:14:00,12-01-2018 13:00:00
3,Cha_32,10-12-2017 10:52:00,15-12-2017 12:43:00
4,G202,10-03-2017 19:12:00,28-03-2017 13:50:00
5,G207,18-03-2017 19:12:00,28-03-2017 18:47:00
6,G214,22-03-2017 04:08:00,22-03-2017 16:51:00
7,G218,13-02-2017 01:49:00,19-02-2017 11:15:00
8,G218,08-03-2017 21:13:00,28-03-2017 17:07:00
9,K1011,05-04-2017 19:17:00,10-05-2017 08:38:00
10,K781,09-04-2017 22:44:00,18-04-2017 08:31:00
12,K856,09-05-2017 09:29:00,09-05-2017 17:32:00
13,K896,05-05-2017 23:42:00,09-05-2017 09:10:00
14,K897,23-04-2017 19:06:00,09-05-2017 19:05:00
15,K934,14-04-2017 06:37:00,17-04-2017 07:58:00
16,Mia 1,28-04-2018 16:10:00,01-05-2018 09:23:00
18,Mia 19,01-05-2018 07:31:00,03-05-2018 15:25:00
19,Mia 2,07-05-2018 17:24:00,11-05-2018 07:57:00
20,Mia 4,21-05-2018 09:15:00,26-05-2018 08:20:00
21,Mia 5,30-04-2018 11:24:00,02-05-2018 07:58:00
22,Mia 8,25-05-2018 20:13:00,26-05-2018 08:50:00
23,Out 124,20-05-2018 13:16:00,26-05-2018 20:20:00
24,OUT 316,21-01-2018 08:47:00,03-02-2018 11:12:00
25,OUT 316,11-02-2018 12:40:00,12-02-2018 11:48:00
30,OUT 329,28-01-2018 10:34:00,28-01-2018 18:18:00
31,OUT 329,29-01-2018 14:52:00,03-02-2018 11:36:00
33,OUT 347,31-01-2018 13:07:00,03-02-2018 12:40:00
34,OUT 347,04-02-2018 12:12:00,12-02-2018 13:46:00
32,OUT 347,18-02-2018 11:57:00,20-02-2018 15:48:00
37,Out 46,18-05-2018 08:33:00,18-05-2018 10:53:00
38,Out 46,27-05-2018 09:50:00,29-05-2018 10:13:00
39,OUT 506,01-02-2018 09:09:00,03-02-2018 15:11:00
40,OUT 506,06-02-2018 09:46:00,12-02-2018 12:14:00
41,OUT 562,25-01-2018 17:54:00,03-02-2018 15:34:00
44,OUT 619,25-01-2018 11:53:00,25-01-2018 17:09:00
46,OUT 638,21-01-2018 15:10:00,25-01-2018 16:08:00
48,OUT 638,13-02-2018 09:34:00,15-02-2018 17:52:00
49,OUT 643,16-02-2018 09:11:00,23-02-2018 07:33:00
52,OUT 658,05-04-2018 14:57:00,18-04-2018 17:19:00
54,OUT 671,12-03-2018 17:21:00,15-03-2018 12:35:00
55,OUT 693,18-03-2018 06:26:00,19-03-2018 13:50:00
56,OUT 712,10-04-2018 21:08:00,18-04-2018 19:13:00
57,OUT 730,06-04-2018 14:04:00,18-04-2018 18:51:00
59,OUT 732,07-03-2018 08:03:00,07-03-2018 18:13:00
63,OUT 741,14-04-2018 16:42:00,18-04-2018 18:57:00
65,OUT 749,12-03-2018 15:24:00,15-03-2018 11:32:00
64,OUT 749,25-03-2018 21:43:00,26-03-2018 12:38:00
68,OUT 755,12-04-2018 03:56:00,15-04-2018 18:50:00
69,OUT 755,16-04-2018 10:58:00,18-04-2018 18:24:00
70,OUT 758,25-03-2018 13:34:00,26-03-2018 12:43:00
72,R153,22-02-2017 07:35:00,05-03-2017 09:00:00
73,R153,05-03-2017 19:03:00,06-03-2017 07:13:00
74,R158,28-02-2017 02:42:00,05-03-2017 08:13:00
76,R162,19-02-2017 18:40:00,06-03-2017 13:47:00
77,R165,03-03-2017 19:16:00,04-03-2017 13:57:00
79,R167,19-03-2017 19:53:00,22-03-2017 17:54:00
80,R167,23-03-2017 10:34:00,28-03-2017 12:50:00
83,R172,07-03-2017 02:38:00,10-03-2017 11:59:00
87,R174,09-03-2017 19:23:00,26-03-2017 19:39:00
88,R180,23-03-2017 18:51:00,28-03-2017 09:59:00
89,R182,18-02-2017 16:59:00,19-02-2017 17:49:00
90,RAM 40,19-12-2017 17:57:00,22-12-2017 16:52:00
91,Ram 42,23-12-2017 22:02:00,11-01-2018 11:43:00
93,Ram 43,08-12-2017 08:20:00,17-12-2017 12:54:00
92,Ram 43,08-01-2018 10:16:00,09-01-2018 13:26:00
94,RAM 47,11-12-2017 09:08:00,22-12-2017 17:40:00
95,Ram 52,15-12-2017 18:19:00,23-12-2017 13:47:00
96,Ram 53,29-12-2017 12:38:00,04-01-2018 14:54:00
97,Ram 54,23-12-2017 18:29:00,11-01-2018 13:26:00
98,Ram 56,04-01-2018 14:08:00,11-01-2018 11:07:00
99,RAS 1,23-03-2018 22:52:00,24-03-2018 12:55:00
100,RAS 12,22-03-2018 11:49:00,24-03-2018 11:32:00
103,RAS 15,19-03-2018 15:58:00,24-03-2018 10:35:00
102,RAS 15,28-03-2018 19:47:00,01-04-2018 10:25:00
104,RAS 15,14-04-2018 19:31:00,18-04-2018 17:51:00
106,RAS 6,03-04-2018 01:07:00,03-04-2018 09:48:00
107,RAS 6,05-04-2018 06:15:00,18-04-2018 19:20:00
108,S109,18-01-2017 04:38:00,30-01-2017 12:35:00
109,S113,06-01-2017 17:20:00,20-01-2017 00:29:00
110,S142,29-12-2016 18:00:00,17-01-2017 15:57:00
111,S59,06-01-2017 07:04:00,30-01-2017 09:32:00
112,S79,29-12-2016 08:47:00,31-12-2016 04:07:00
115,S87,15-01-2017 13:25:00,29-01-2017 14:08:00
116,S90,18-01-2017 22:01:00,29-01-2017 17:52:00
