"","Region.Label","Area","Nc","n","ER_var","Effort","k","Covered_area","df_var","group_var","group_mean","ER_var_Nhat","rate_SE","rate","rate_df","rate_CV","p_var","p_average","ER","ER_CV","ER_df","Abundance","df_CV","group_CV","Abundance_CV","Abundance_se","df","bigC","LCI","UCI"
"1","Chouhani_Inside",1,167.038598560782,29,3.10992011027364e-13,27725369,16,435.857021829484,0.00163331526156915,0,1,0.0417497123894868,0,1,1,0,0.000335187249293171,0.173612567693134,1.04597345485285e-06,0.533155573255665,15,0.383241728812003,0.105453796453314,0,0.543484469400914,0.208285927635681,16.1929245982245,2.93704576692427,0.130485446678395,1.12559849731603
"2","Gajaimata_Inside",1,408.956568890191,71,4.95285406740331e-12,26034014,15,409.26805368423,0.0111035824558388,0,1,0.664905288525221,0,1,1,0,0.000335187249293171,0.173612567693134,2.72720142195514e-06,0.816038316691356,14,0.999238922287643,0.105453796274007,0,0.822823819208621,0.822197586338625,14.4709306965266,4.65298508160315,0.214752229969188,4.64944379836161
"3","Gajaimata_PPC_Inside",1,0,0,0,12888401,8,202.612274556351,0,0,NA,0,0,1,1,0,0.000335187249293171,0.173612567693134,0,NA,7,0,NA,0,0,0,1,1,0,0
"4","Kanoi_Inside",1,17.2798550235292,3,3.10021893924247e-15,44410744,36,698.159675244416,6.81232098946272e-06,0,1,0.000416194771789249,0,1,1,0,0.000335187249293171,0.173612567693134,6.75512213891305e-08,0.824257631187471,35,0.0247505773195505,0.105453796131903,0,0.830976019924408,0.0205671362318314,36.1517881885379,4.34632680430729,0.0056945964797268,0.107574097626042
"5","Miajlar_Inside",1,34.5597100470584,6,2.68909730511509e-14,30513462,23,479.687273883609,5.77229107699986e-05,0,1,0.00361002968227441,0,1,1,0,0.000335187249293171,0.173612567693134,1.96634521510539e-07,0.8339566824814,22,0.0720463350366971,0.105453796135126,0,0.840597556131762,0.0605619731600978,22.7079022349931,4.5424680109684,0.0158606147281019,0.327268172211709
"6","Miajlar_Outside",1,5.75995167450973,1,1.03455992245246e-15,29913682,24,470.258424638974,1.6683568501641e-06,0,1,0.000138886459074601,0,1,1,0,0.000335187249293171,0.173612567693134,3.34295189739598e-08,0.962160885663168,23,0.0122484816278023,0.1054537964266,0,0.967922555311588,0.0118555816358695,23.5551142770952,5.36428634695414,0.00228333851617691,0.0657043627669387
"7","Ramdeora_Inside",1,184.318453584311,32,2.65103375575964e-13,39751762,26,624.918088476818,0.000967421831266002,0,1,0.0355893054847789,0,1,1,0,0.000335187249293171,0.173612567693134,8.04995763458234e-07,0.639608216424225,25,0.294948181182547,0.10545379644726,0,0.648243143968772,0.191198136277645,26.3727960676683,3.37582254554525,0.0873707599268693,0.995692719803606
"8","Rasla_Inside",1,973.431832992144,169,4.00982748153548e-12,26439761,17,415.646604643687,0.0609939913780899,0,1,0.538306895834814,0,1,1,0,0.000335187249293171,0.173612567693134,6.39188833817371e-06,0.31328071725263,16,2.34196989008636,0.105453796545779,0,0.330553038116791,0.774145262346095,19.7909917127774,1.95850291246189,1.19579597006698,4.58675485063219
"9","Rasla_Outside",1,0,0,0,28517998,19,448.317556271989,0,0,NA,0,0,1,1,0,0.000335187249293171,0.173612567693134,0,NA,18,0,NA,0,0,0,1,1,0,0
"10","RKVY_Inside",1,115.199033490195,20,3.071158979282e-14,62560015,36,983.475524654255,0.000152579082267908,0,1,0.00412293562345341,0,1,1,0,0.000335187249293171,0.173612567693134,3.19693017976418e-07,0.548173450544833,35,0.117134621657914,0.105453796604513,0,0.558224538246514,0.0653874200876692,37.6205968027614,2.87112765475452,0.040797427263097,0.336308451571245
"11","Sudasri_Inside",1,1249.90951336861,217,4.26773971338884e-13,75364428,55,1184.76746477071,0.0123769987478961,0,1,0.0572930812590865,0,1,1,0,0.000335187249293171,0.173612567693134,2.87934249298621e-06,0.226884922234565,54,1.05498298234456,0.105453796420661,0,0.250194466599313,0.26395090453905,77.9073897497961,1.63324177420149,0.645944157814816,1.72304227783681
"12","Sudasri_Outside",1,11.5199033490195,2,3.58952654752877e-15,46576261,32,732.202713241174,2.75270355109814e-06,0,1,0.000481882799750015,0,1,1,0,0.000335187249293171,0.173612567693134,4.29403296241405e-08,1.3952537901188,31,0.0157332158713608,0.105453796593309,0,1.39923323361647,0.0220144385188701,31.3548658537956,8.35555363516113,0.00188296509822564,0.131459729066723
"13","Total",12,3167.97342098035,550,1.00308777751342e-11,450695897,307,7085.1706758957,0.314298690902513,0,NA,1.34661421282973,0,1,1,0,0.000335187249293171,0.173612567693134,1.22033504999936e-06,2.59531683705382,36.3268692911574,5.31629493622644,0.105453796451405,0,0.242417720384942,1.28876409933403,54.2011338492863,1.61454930609352,3.29274238709345,8.58342030027287
